"_time","IP_Sessions(K)"
"2021-06-14T21:00:00.000-0400","12401.27"
"2021-06-14T22:00:00.000-0400","12326.789"
"2021-06-14T23:00:00.000-0400","12212.849000000002"
"2021-06-15T00:00:00.000-0400","12106.474"
"2021-06-15T01:00:00.000-0400","12016.949999999999"
"2021-06-15T02:00:00.000-0400","11928.726999999999"
"2021-06-15T03:00:00.000-0400","11880.185000000001"
"2021-06-15T04:00:00.000-0400","11850.864000000001"
"2021-06-15T05:00:00.000-0400","11877.081000000002"
"2021-06-15T06:00:00.000-0400","11965.315999999999"
"2021-06-15T07:00:00.000-0400","12097.286000000002"
"2021-06-15T08:00:00.000-0400","12235.269"
"2021-06-15T09:00:00.000-0400","12349.65"
"2021-06-15T10:00:00.000-0400","12436.352"
"2021-06-15T11:00:00.000-0400","12494.161"
"2021-06-15T12:00:00.000-0400","12518.308"
"2021-06-15T13:00:00.000-0400","12531.143"
"2021-06-15T14:00:00.000-0400","12545.132"
"2021-06-15T15:00:00.000-0400","12549.760999999999"
"2021-06-15T16:00:00.000-0400","12552.580999999998"
"2021-06-15T17:00:00.000-0400","12546.743999999999"
"2021-06-15T18:00:00.000-0400","12520.365"
"2021-06-15T19:00:00.000-0400","12495.082999999999"
"2021-06-15T20:00:00.000-0400","12463.028999999999"
"2021-06-15T21:00:00.000-0400","12408.315"
"2021-06-15T22:00:00.000-0400","12311.31"
"2021-06-15T23:00:00.000-0400","12193.966"
"2021-06-16T00:00:00.000-0400","12088.103"
"2021-06-16T01:00:00.000-0400","11997.027"
"2021-06-16T02:00:00.000-0400","11923.560999999998"
"2021-06-16T03:00:00.000-0400","11874.635"
"2021-06-16T04:00:00.000-0400","11844.039"
"2021-06-16T05:00:00.000-0400","11860.46"
"2021-06-16T06:00:00.000-0400","11940.509"
"2021-06-16T07:00:00.000-0400","12072.937999999998"
"2021-06-16T08:00:00.000-0400","12211.317"
"2021-06-16T09:00:00.000-0400","12331.082"
"2021-06-16T10:00:00.000-0400","12420.919000000002"
"2021-06-16T11:00:00.000-0400","12482.082999999999"
"2021-06-16T12:00:00.000-0400","12512.760999999999"
"2021-06-16T13:00:00.000-0400","12530.651"
"2021-06-16T14:00:00.000-0400","12545.756000000001"
"2021-06-16T15:00:00.000-0400","12554.606"
"2021-06-16T16:00:00.000-0400","12557.316"
"2021-06-16T17:00:00.000-0400","12549.652"
"2021-06-16T18:00:00.000-0400","12526.164"
"2021-06-16T19:00:00.000-0400","12500.92"
"2021-06-16T20:00:00.000-0400","12466.114"
"2021-06-16T21:00:00.000-0400","12413.577"
"2021-06-16T22:00:00.000-0400","12320.333999999999"
"2021-06-16T23:00:00.000-0400","12205.322"
"2021-06-17T00:00:00.000-0400","12096.731"
"2021-06-17T01:00:00.000-0400","12004.219000000001"
"2021-06-17T02:00:00.000-0400","11928.163"
"2021-06-17T03:00:00.000-0400","11877.573"
"2021-06-17T04:00:00.000-0400","11846.098"
"2021-06-17T05:00:00.000-0400","11871.791"
"2021-06-17T06:00:00.000-0400","11960.789"
"2021-06-17T07:00:00.000-0400","12092.106"
"2021-06-17T08:00:00.000-0400","12230.166"
"2021-06-17T09:00:00.000-0400","12342.506000000001"
"2021-06-17T10:00:00.000-0400","12431.926"
"2021-06-17T11:00:00.000-0400","12493.666000000001"
"2021-06-17T12:00:00.000-0400","12521.678"
"2021-06-17T13:00:00.000-0400","12537.523"
"2021-06-17T14:00:00.000-0400","12551.780999999999"
"2021-06-17T15:00:00.000-0400","12562.173"
"2021-06-17T16:00:00.000-0400","12567.297999999999"
"2021-06-17T17:00:00.000-0400","12558.485999999999"
"2021-06-17T18:00:00.000-0400","12532.412999999999"
"2021-06-17T19:00:00.000-0400","12503.165"
"2021-06-17T20:00:00.000-0400","12471.010999999999"
"2021-06-17T21:00:00.000-0400","12418.831"
"2021-06-17T22:00:00.000-0400","12326.624"
"2021-06-17T23:00:00.000-0400","12208.581999999999"
"2021-06-18T00:00:00.000-0400","12099.239"
"2021-06-18T01:00:00.000-0400","12007.615"
"2021-06-18T02:00:00.000-0400","11932.023"
"2021-06-18T03:00:00.000-0400","11878.857"
"2021-06-18T04:00:00.000-0400","11846.087"
"2021-06-18T05:00:00.000-0400","11866.046"
"2021-06-18T06:00:00.000-0400","11948.351"
"2021-06-18T07:00:00.000-0400","12072.466"
"2021-06-18T08:00:00.000-0400","12211.569000000001"
"2021-06-18T09:00:00.000-0400","12330.192"
"2021-06-18T10:00:00.000-0400","12427.923999999999"
"2021-06-18T11:00:00.000-0400","12492.437"
"2021-06-18T12:00:00.000-0400","12521.642000000002"
"2021-06-18T13:00:00.000-0400","12539.314"
"2021-06-18T14:00:00.000-0400","12552.053"
"2021-06-18T15:00:00.000-0400","12561.858"
"2021-06-18T16:00:00.000-0400","12564.309"
"2021-06-18T17:00:00.000-0400","12551.845"
"2021-06-18T18:00:00.000-0400","12526.858"
"2021-06-18T19:00:00.000-0400","12497.34"
"2021-06-18T20:00:00.000-0400","12461.932999999999"
"2021-06-18T21:00:00.000-0400","12410.959"
"2021-06-18T22:00:00.000-0400","12329.367"
"2021-06-18T23:00:00.000-0400","12218.364"
"2021-06-19T00:00:00.000-0400","12087.152"
"2021-06-19T01:00:00.000-0400","11988.079"
"2021-06-19T02:00:00.000-0400","11903.379"
"2021-06-19T03:00:00.000-0400","11839.726"
"2021-06-19T04:00:00.000-0400","11794.672999999999"
"2021-06-19T05:00:00.000-0400","11775.256000000001"
"2021-06-19T06:00:00.000-0400","11816.021"
"2021-06-19T07:00:00.000-0400","11906.011999999999"
"2021-06-19T08:00:00.000-0400","12027.697"
"2021-06-19T09:00:00.000-0400","12152.149000000001"
"2021-06-19T10:00:00.000-0400","12258.544000000002"
"2021-06-19T11:00:00.000-0400","12335.205000000002"
"2021-06-19T12:00:00.000-0400","12389.652"
"2021-06-19T13:00:00.000-0400","12415.768"
"2021-06-19T14:00:00.000-0400","12432.041000000001"
"2021-06-19T15:00:00.000-0400","12439.079"
"2021-06-19T16:00:00.000-0400","12440.896"
"2021-06-19T17:00:00.000-0400","12441.931"
"2021-06-19T18:00:00.000-0400","12436.821"
"2021-06-19T19:00:00.000-0400","12427.29"
"2021-06-19T20:00:00.000-0400","12414.399"
"2021-06-19T21:00:00.000-0400","12387.031"
"2021-06-19T22:00:00.000-0400","12327.437999999998"
"2021-06-19T23:00:00.000-0400","12219.653"
"2021-06-20T00:00:00.000-0400","12116.29"
"2021-06-20T01:00:00.000-0400","11997.855000000001"
"2021-06-20T02:00:00.000-0400","11916.490999999998"
"2021-06-20T03:00:00.000-0400","11851.6"
"2021-06-20T04:00:00.000-0400","11803.469"
"2021-06-20T05:00:00.000-0400","11776.828000000001"
"2021-06-20T06:00:00.000-0400","11807.081"
"2021-06-20T07:00:00.000-0400","11884.867000000002"
"2021-06-20T08:00:00.000-0400","12001.401999999998"
"2021-06-20T09:00:00.000-0400","12127.080999999998"
"2021-06-20T10:00:00.000-0400","12238.067"
"2021-06-20T11:00:00.000-0400","12325.308"
"2021-06-20T12:00:00.000-0400","12388.183"
"2021-06-20T13:00:00.000-0400","12424.281"
"2021-06-20T14:00:00.000-0400","12446.371"
"2021-06-20T15:00:00.000-0400","12460.072"
"2021-06-20T16:00:00.000-0400","12471.363000000001"
"2021-06-20T17:00:00.000-0400","12475.844"
"2021-06-20T18:00:00.000-0400","12476.738999999998"
"2021-06-20T19:00:00.000-0400","12476.185"
"2021-06-20T20:00:00.000-0400","12460.233"
"2021-06-20T21:00:00.000-0400","12413.928"
"2021-06-20T22:00:00.000-0400","12341.698"
"2021-06-20T23:00:00.000-0400","12236.477"
"2021-06-21T00:00:00.000-0400","12133.45"
"2021-06-21T01:00:00.000-0400","12047.203999999998"
"2021-06-21T02:00:00.000-0400","11976.159"
"2021-06-21T03:00:00.000-0400","11923.131000000001"
"2021-06-21T04:00:00.000-0400","11890.903999999999"
"2021-06-21T05:00:00.000-0400","11909.898000000001"
"2021-06-21T06:00:00.000-0400","11991.428"
"2021-06-21T07:00:00.000-0400","12121.679"
"2021-06-21T08:00:00.000-0400","12267.814999999999"
"2021-06-21T09:00:00.000-0400","12391.69"
"2021-06-21T10:00:00.000-0400","12489.464"
"2021-06-21T11:00:00.000-0400","12554.970000000001"
"2021-06-21T12:00:00.000-0400","12586.215"
"2021-06-21T13:00:00.000-0400","12605.136"
"2021-06-21T14:00:00.000-0400","12619.154"
"2021-06-21T15:00:00.000-0400","12627.14"
"2021-06-21T16:00:00.000-0400","12629.565"
"2021-06-21T17:00:00.000-0400","12619.655"
"2021-06-21T18:00:00.000-0400","12579.974"
"2021-06-21T19:00:00.000-0400","12556.612"
"2021-06-21T20:00:00.000-0400","12524.127"
"2021-06-21T21:00:00.000-0400","12468.349"
